# lat	lon
23.721180	121.140404
23.725830	121.145103
23.730480	121.149696
23.735130	121.154404
23.739780	121.158997
23.744431	121.163696
23.749081	121.168297
23.753731	121.172997
23.758381	121.177597
23.763029	121.182297
23.767679	121.186897
23.772329	121.191597
23.776979	121.196198
23.781630	121.200897
23.786280	121.205498
23.790930	121.210197
23.795580	121.214798
23.800230	121.219498
23.804880	121.224098
23.809530	121.228798
23.814180	121.233398
23.818830	121.238098
23.823481	121.242699
23.828131	121.247398
23.832781	121.251999
23.837429	121.256699
23.842079	121.261299
23.846729	121.265999
23.851379	121.270599
23.856030	121.275299
23.860680	121.279900
23.865330	121.284599
23.869980	121.289200
23.874630	121.293900
23.879280	121.298500
23.883930	121.303200
23.888580	121.307800
23.893230	121.312500
23.897881	121.317101
23.902531	121.321800
23.907181	121.326401
23.911831	121.331100
23.916479	121.335701
23.921129	121.340401
23.925779	121.345001
23.930429	121.349701
23.935080	121.354301
23.939730	121.359001
23.944380	121.363602
23.949030	121.368301
23.953680	121.372902
23.958330	121.377602
23.962980	121.382202
23.967630	121.386902
23.972281	121.391502
23.976931	121.396202
23.981581	121.400803
23.986231	121.405502
23.990879	121.410103
23.995529	121.414803
24.000179	121.419403
24.004829	121.424103
24.009480	121.428703
24.014130	121.433403
24.018780	121.438004
24.023430	121.442703
24.028080	121.447304
24.032730	121.452003
24.037380	121.456596
24.042030	121.461304
24.046680	121.465897
24.051331	121.470596
24.055981	121.475197
24.060631	121.479897
24.065281	121.484497
24.069929	121.489197
24.074579	121.493797
24.079229	121.498497
24.083879	121.503098
24.088530	121.507797
24.093180	121.512398
24.097830	121.517097
24.102480	121.521698
24.107130	121.526398
24.111780	121.530998
24.116430	121.535698
24.121080	121.540298
24.125731	121.544998
24.130381	121.549599
24.135031	121.554298
24.139681	121.558899
24.144329	121.563599
24.148979	121.568199
24.153629	121.572899
24.158279	121.577499
24.162930	121.582199
24.167580	121.586800
24.172230	121.591499
24.176880	121.596100
24.181530	121.600800
24.186180	121.605400
24.190830	121.610100
24.195480	121.614700
24.200130	121.619400
24.204781	121.624001
24.209431	121.628700
24.214081	121.633301
24.218731	121.638000
24.223379	121.642601
24.228029	121.647301
24.232679	121.651901
24.237329	121.656601
24.241980	121.661201
24.246630	121.665901
24.251280	121.670502
24.255930	121.675201
24.260580	121.679802
24.265230	121.684502
24.269880	121.689102
24.274530	121.693802
24.279181	121.698402
24.283831	121.703102
24.288481	121.707703
24.293131	121.712402
24.297779	121.717003
24.302429	121.721703
24.307079	121.726303
24.311729	121.731003
24.316380	121.735603
24.321030	121.740303
24.325680	121.744904
24.330330	121.749603
24.334980	121.754204
24.339630	121.758904
24.344280	121.763496
24.348930	121.768204
24.353580	121.772797
24.358231	121.777496
24.362881	121.782097
24.367531	121.786797
24.372181	121.791397
24.376829	121.796097
24.381479	121.800697
24.386129	121.805397
24.390779	121.809998
24.395430	121.814697
24.400080	121.819298
24.404730	121.823997
24.409380	121.828598
24.414030	121.833298
24.418680	121.837898
24.423330	121.842598
24.427980	121.847198
24.432631	121.851898
24.437281	121.856499
24.441931	121.861198
24.446581	121.865799
24.451229	121.870499
24.455879	121.875099
24.460529	121.879799
